"mem_signup_month","num_days_as_member","acquisition_source","days_between_first_and_second_order","days_between_second_and_third_order","days_between_third_and_fourth_order","days_between_fourth_and_fifth_order","spicy_preference_index","sweet_preference_index","tart_preference_index","has_purchased_a_limited_edition_sku","has_spent_more_than_50_dollars"
12,355,"podcast",0,0,0,0,0.1428,0.4857,0.3571,0,0
12,342,"friends/family",1,0,0,0,0.0642,0.3214,0.3035,1,1
1,323,"podcast",49,38,158,0,0,0.49,0.225,0,1
12,334,"unknown",14,1,5,5,0.0952,0.238,0.4285,0,1
1,320,"friends/family",29,33,51,17,0.0754,0.4196,0.3032,1,1
12,344,"podcast",22,28,20,14,0.123,0.3164,0.2527,1,1
12,328,"youtube",0,0,0,0,0,0.5111,0.2777,0,0
12,344,"unknown",0,0,0,0,0.1428,0.2571,0.3571,0,0
12,330,"friends/family",9,0,0,0,0.047,0.4117,0.3823,0,0
12,327,"friends/family",0,0,0,0,0.025,0.025,0.1875,1,0
11,357,"radio",160,131,28,0,0,0.513,0.4565,0,1
12,348,"unknown",0,0,0,0,0.0727,0.309,0.3636,0,0
12,352,"friends/family",63,0,0,0,0,0.2857,0.5,0,0
12,336,"friends/family",7,0,0,0,0,0.4533,0.2333,0,0
11,357,"friends/family",0,0,0,0,0.2222,0.2,0.2777,1,0
12,336,"friends/family",0,0,0,0,0.1,0.275,0.25,1,0
12,330,"friends/family",0,0,0,0,0,0.48,0.5,0,0
11,358,"friends/family",30,0,0,0,0,0.3272,0.3181,0,0
12,343,"unknown",0,0,0,0,0,0.475,0.3125,0,0
12,352,"friends/family",0,0,0,0,0.125,0.275,0.4375,0,0
12,328,"facebook",40,37,53,34,0.04,0.495,0.2875,1,1
11,366,"radio",44,65,0,0,0.1953,0.4465,0.2209,0,1
12,345,"catalog/mailer",5,0,0,0,0,0.3052,0.3684,1,0
1,325,"catalog/mailer",33,27,33,46,0.0228,0.5628,0.3714,1,1
1,321,"unknown",191,0,0,0,0.0769,0.4461,0.2692,0,0
12,355,"friends/family",121,0,0,0,0,0.2666,0.375,0,0
12,334,"unknown",2,113,0,0,0,0.6,0.25,0,0
11,360,"podcast",20,11,24,105,0.1714,0.3761,0.3333,0,1
1,320,"youtube",0,0,0,0,0.0222,0.2888,0.2222,0,0
11,362,"friends/family",0,0,0,0,0,0.3428,0.5,0,0
12,336,"podcast",22,25,21,119,0.1142,0.48,0.4571,0,1
